company_id,company_name,country,homepage,code,code6_re
160,한국지역난방공사,KR,,071320,071320
161,한국콜마,KR,,161890.0,161890
162,한국타이어앤테크놀로지,KR,,161390.0,161390
163,한국투자금융지주,KR,,071050,071050
164,한국항공우주산업,KR,,047810,047810
165,한라시멘트,KR,,,
166,한미약품,KR,,128940.0,128940
167,한샘,KR,,9240.0,009240
168,한섬,KR,,20000.0,020000
169,한세실업,KR,,105630.0,105630
170,한세엠케이,KR,,069640,069640
171,한세예스24홀딩스,KR,,016450,016450
172,한온시스템,KR,,18880.0,018880
173,한일시멘트,KR,,300720.0,300720
174,한일현대시멘트,KR,,6390.0,006390
175,한일홀딩스,KR,,3300.0,003300
176,한전KPS,KR,,51600.0,051600
177,한화비전,KR,,489790.0,489790
178,한화생명,KR,,88350.0,088350
179,한화손해보험,KR,,0370.0,000370
180,한화솔루션,KR,,9830.0,009830
181,한화시스템,KR,,272210.0,272210
182,한화에어로스페이스,KR,,12450.0,012450
183,한화오션,KR,,42660.0,042660
184,한화투자증권,KR,,3530.0,003530
185,해성디에스,KR,,195870.0,195870
186,현대건설,KR,,0720.0,000720
187,현대로템,KR,,64350.0,064350
188,현대모비스,KR,,12330.0,012330
189,현대비앤지스틸,KR,,4560.0,004560
190,현대엘리베이터,KR,,17800.0,017800
191,현대오토에버,KR,,307950.0,307950
192,현대위아,KR,,11210.0,011210
193,현대자동차,KR,,5380.0,005380
194,현대제철,KR,,4020.0,004020
195,현대홈쇼핑,KR,,57050.0,057050
196,호텔신라,KR,,8770.0,008770
197,화승알앤에이,KR,,378850.0,378850
198,화승코퍼레이션,KR,,13520.0,013520
199,효성,KR,,4800.0,004800
200,효성중공업,KR,,298040.0,298040
201,효성티앤씨,KR,,298020.0,298020
202,효성화학,KR,,298000.0,298000
107,삼양홀딩스,KR,,0070.0,000070
123,에스케이디앤디,KR,,,
145,코오롱이앤피,KR,,,
242,日本国土開発,JP,,18870,018870
203,タカラトミー,JP,,78670,078670
204,GMO,JP,,94490,094490
205,大阪チタ,JP,,57260,057260
206,オーバル,JP,,77270,077270
207,三井物産,JP,,80310,080310
208,西川ゴム,JP,,51610,051610
209,中北製作所,JP,,64960,064960
210,DNホールディングス,JP,,73770,073770
211,スクエニHD,JP,,96840,096840
212,キヤノン電子,JP,,77390,077390
213,ニッパツ,JP,,59910,059910
214,リクルートHD,JP,,60980,060980
215,ヨドコウ,JP,,54510,054510
216,パンパシフィックHD,JP,,75320,075320
217,GMOGSHD,JP,,37880,037880
218,アイモバイル,JP,,65350,065350
219,カヤバ,JP,,72420,072420
220,タナベコンサルG,JP,,96440,096440
221,南海化学,JP,,40400,040400
222,イワキポンプ,JP,,62370,062370
223,商船三井,JP,,91040,091040
224,シーイーシー,JP,,96920,096920
225,日特殊陶,JP,,53340,053340
226,パイオラックス,JP,,59880,059880
227,ウェルネオシュガー,JP,,21170,021170
228,日本調剤,JP,,33410,033410
229,G-うるる,JP,,39790,039790
230,平田機工,JP,,62580,062580
231,ハリマ化成G,JP,,44100,044100
232,テアトル,JP,,96330,096330
233,ショーボンド,JP,,14140,014140
234,大和工,JP,,54440,054440
235,リケンNPR,JP,,62090,062090
236,平和,JP,,64120,064120
237,ホーチキ,JP,,67450,067450
238,神鋼商,JP,,80750,080750
239,上新電,JP,,81730,081730
240,東映,JP,,96050,096050
241,ミスミG,JP,,99620,099620
243,キオクシアHD,JP,,285A0,002850
244,ジョイフル本田,JP,,31910,031910
245,日電波,JP,,67790,067790
246,TDCソフト,JP,,46870,046870
247,CIJ,JP,,48260,048260
248,小林製薬,JP,,49670,049670
249,東洋電,JP,,65050,065050
250,共和レザー,JP,,35530,035530
251,太陽HD,JP,,46260,046260
252,ウィルグループ,JP,,60890,060890
253,SHOEI,JP,,78390,078390
254,キングジム,JP,,79620,079620
255,ニフコ,JP,,79880,079880
256,リログループ,JP,,88760,088760
257,オリエンタル白石,JP,,17860,017860
258,新日科学,JP,,23950,023950
259,リゾートトラ,JP,,46810,046810
260,SMC,JP,,62730,062730
261,アドバンテス,JP,,68570,068570
262,ファナック,JP,,69540,069540
263,KOA,JP,,69990,069990
264,三井E&S,JP,,70030,070030
265,CODE_77470,JP,,77470,077470
266,プロネクサス,JP,,78930,078930
267,TAKARA&CO,JP,,79210,079210
268,永大産業,JP,,78220,078220
269,有沢製,JP,,52080,052080
270,シグマ光機,JP,,77130,077130
271,科研薬,JP,,45210,045210
272,サンゲツ,JP,,81300,081300
273,JSR,JP,,41850,041850
274,F&LC,JP,,35630,035630
275,トビラシステムズ,JP,,44410,044410
276,七十七銀,JP,,83410,083410
