company_id,company_name,country,homepage,code,code6_re,ticker_candidates,ticker_used,market_cap,market_cap_currency,market_cap_source,market_cap_fetched_at_utc,market_cap_error
38,MNC솔루션,KR,,484870,484870,484870.KS|484870.KQ,484870.KS,1174445359104,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
39,NHN,KR,,181710.0,181710,181710.KS|181710.KQ,181710.KS,1010765398016,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
40,NH투자증권,KR,,5940.0,005940,005940.KS|005940.KQ,005940.KS,10018249244672,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
41,OCI,KR,,456040.0,456040,456040.KS|456040.KQ,456040.KS,726047326208,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
42,SGC에너지,KR,,5090.0,005090,005090.KS|005090.KQ,005090.KS,427174723584,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
43,SK,KR,,34730.0,034730,034730.KS|034730.KQ,034730.KS,18074044465152,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
44,SKC,KR,,11790.0,011790,011790.KS|011790.KQ,011790.KS,3846343491584,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
45,SK네트웍스,KR,,1740.0,001740,001740.KS|001740.KQ,001740.KS,1035672748032,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
46,SK디스커버리,KR,,6120.0,006120,006120.KS|006120.KQ,006120.KS,975978233856,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
47,SK바이오팜,KR,,326030,326030,326030.KS|326030.KQ,326030.KS,8504818532352,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
48,SK이노베이션,KR,,96770.0,096770,096770.KS|096770.KQ,096770.KS,18181718540288,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
49,SK이터닉스,KR,,475150.0,475150,475150.KS|475150.KQ,475150.KS,718474969088,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
50,SK증권,KR,,1510.0,001510,001510.KS|001510.KQ,001510.KS,374999023616,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
51,iM금융그룹,KR,,139130,139130,139130.KS|139130.KQ,139130.KS,2875190149120,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
52,강원랜드,KR,,35250.0,035250,035250.KS|035250.KQ,035250.KS,3587261595648,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
53,고려아연,KR,,10130.0,010130,010130.KS|010130.KQ,010130.KS,30966527557632,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
54,금호석유화학,KR,,11780.0,011780,011780.KS|011780.KQ,011780.KS,3554644066304,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
55,금호타이어,KR,,73240.0,073240,073240.KS|073240.KQ,073240.KS,1961987801088,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
56,기아,KR,,0270.0,000270,000270.KS|000270.KQ,000270.KS,58979417849856,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
57,네이버,KR,,035420,035420,035420.KS|035420.KQ,035420.KS,37296460005376,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
58,넥센타이어,KR,,2350.0,002350,002350.KS|002350.KQ,002350.KS,941423591424,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
59,넷마블,KR,,251270.0,251270,251270.KS|251270.KQ,251270.KS,4514594684928,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
60,다올투자증권,KR,,30210.0,030210,030210.KS|030210.KQ,030210.KS,236373098496,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
61,대동,KR,,0490.0,000490,000490.KS|000490.KQ,000490.KS,302275493888,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
62,대동금속,KR,,020400,020400,020400.KS|020400.KQ,020400.KQ,22866319360,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
63,대동기어,KR,,008830,008830,008830.KS|008830.KQ,008830.KQ,208510468096,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
65,대우건설,KR,,47040.0,047040,047040.KS|047040.KQ,047040.KS,2342048759808,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
66,대웅제약,KR,,69620.0,069620,069620.KS|069620.KQ,069620.KS,1905438359552,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
67,대한유화,KR,,6650.0,006650,006650.KS|006650.KQ,006650.KS,885652717568,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
68,대한항공,KR,,3490.0,003490,003490.KS|003490.KQ,003490.KS,8919353131008,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
69,더존비즈온,KR,,12510.0,012510,012510.KS|012510.KQ,012510.KS,2376831598592,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
70,동국씨엠,KR,,460850.0,460850,460850.KS|460850.KQ,460850.KS,155808727040,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
71,동국제강,KR,,460860.0,460860,460860.KS|460860.KQ,460860.KS,419193323520,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
72,동아쏘시오홀딩스,KR,,0640.0,000640,000640.KS|000640.KQ,000640.KS,668933554176,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
73,동아에스티,KR,,170900.0,170900,170900.KS|170900.KQ,170900.KS,503976493056,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
75,동원산업,KR,,6040.0,006040,006040.KS|006040.KQ,006040.KS,1896079687680,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
76,두산,KR,,0150.0,000150,000150.KS|000150.KQ,000150.KS,15806162272256,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
77,두산에너빌리티,KR,,34020.0,034020,034020.KS|034020.KQ,034020.KS,60908235653120,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
78,두산퓨얼셀,KR,,336260.0,336260,336260.KS|336260.KQ,336260.KS,2923546542080,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
79,디에스단석,KR,,017860,017860,017860.KS|017860.KQ,017860.KS,337263427584,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
80,롯데렌탈,KR,,89860.0,089860,089860.KS|089860.KQ,089860.KS,1168180117504,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
81,롯데쇼핑,KR,,23530.0,023530,023530.KS|023530.KQ,023530.KS,2764868681728,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
82,롯데웰푸드,KR,,280360.0,280360,280360.KS|280360.KQ,280360.KS,1083055210496,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
83,롯데이노베이트,KR,,286940.0,286940,286940.KS|286940.KQ,286940.KS,336628416512,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
84,롯데정밀화학,KR,,4000.0,004000,004000.KS|004000.KQ,004000.KS,1194543022080,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
85,롯데지주,KR,,4990.0,004990,004990.KS|004990.KQ,004990.KS,2299740291072,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
86,롯데칠성음료,KR,,5300.0,005300,005300.KS|005300.KQ,005300.KS,1425684692992,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
87,롯데케미칼,KR,,11170.0,011170,011170.KS|011170.KQ,011170.KS,3149885865984,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
88,롯데하이마트,KR,,71840.0,071840,071840.KS|071840.KQ,071840.KS,184622989312,KRW,yfinance,2026-02-09T05:25:44.352654+00:00,
