Domain,Table_Name,Column_Order,Column_Name,Data_Type,Nullable,Key_Type,Description
Scoring,,6,reg_date,TIMESTAMP,N,,레코드 등록 일시
Scoring,,7,registrar,VARCHAR(100),N,,등록 주체
Scoring,,8,update_date,TIMESTAMP,Y,,최종 수정 일시
Scoring,,9,updater,VARCHAR(100),Y,,최종 수정 주체
Scoring,,10,note,TEXT,Y,,추가 메모
Scoring,risk_adjustments,1,risk_adjustment_id,BIGINT,N,PK,조정항 식별자
Scoring,,2,scoring_run_id,BIGINT,N,FK,스코어링 실행
Scoring,,3,adjustment_code,VARCHAR(20),N,,"조정 코드(CEF, GV)"
Scoring,,4,adjustment_value,"NUMERIC(12,8)",Y,,조정항 원값
Scoring,,5,adjustment_factor,"NUMERIC(12,8)",Y,,최종 적용 계수
Scoring,,6,calc_trace_json,JSONB,Y,,계산 추적 정보
Scoring,,7,reg_date,TIMESTAMP,N,,레코드 등록 일시
Scoring,,8,registrar,VARCHAR(100),N,,등록 주체
Scoring,,9,update_date,TIMESTAMP,Y,,최종 수정 일시
Scoring,,10,updater,VARCHAR(100),Y,,최종 수정 주체
Scoring,,11,note,TEXT,Y,,추가 메모
Scoring,cers_score,1,cers_score_id,BIGINT,N,PK,최종 점수 식별자
Scoring,,2,scoring_run_id,BIGINT,N,FK,스코어링 실행
Scoring,,3,sbase,"NUMERIC(12,8)",Y,,기초 점수
Scoring,,4,cef,"NUMERIC(12,8)",Y,,CBAM 노출 조정 계수
Scoring,,5,gv,"NUMERIC(12,8)",Y,,그린워싱 패널티
Scoring,,6,cers_score,"NUMERIC(12,8)",Y,,최종 CERs 점수
Scoring,,7,score_grade,VARCHAR(20),Y,,점수 등급
Scoring,,8,reg_date,TIMESTAMP,N,,레코드 등록 일시
Scoring,,9,registrar,VARCHAR(100),N,,등록 주체
Scoring,,10,update_date,TIMESTAMP,Y,,최종 수정 일시
Scoring,,11,updater,VARCHAR(100),Y,,최종 수정 주체
Scoring,,12,note,TEXT,Y,,추가 메모
Evidence,document_framework_adoptions,1,document_framework_adoption_id,BIGINT,N,PK,문서 프레임워크 채택 식별자
Evidence,,2,document_id,BIGINT,N,FK,대상 문서
Evidence,,3,framework_code,VARCHAR(50),N,,프레임워크 코드(GRI, TCFD, SASB 등)
Evidence,,4,framework_label,VARCHAR(200),Y,,프레임워크 표시명
Evidence,,5,adoption_status,VARCHAR(30),Y,,"채택 상태(prepared_in_accordance, referenced, aligned 등)"
Evidence,,6,evidence_id,BIGINT,Y,FK,근거 블록
Evidence,,7,reg_date,TIMESTAMP,N,,레코드 등록 일시
Evidence,,8,registrar,VARCHAR(100),N,,등록 주체
Evidence,,9,update_date,TIMESTAMP,Y,,최종 수정 일시
Evidence,,10,updater,VARCHAR(100),Y,,최종 수정 주체
Evidence,,11,note,TEXT,Y,,추가 메모
Evidence,document_assurance_statements,1,document_assurance_statement_id,BIGINT,N,PK,문서 assurance 식별자
Evidence,,2,document_id,BIGINT,N,FK,대상 문서
Evidence,,3,assurance_provider,VARCHAR(200),Y,,보증 기관 또는 검증 기관명
Evidence,,4,assurance_type_code,VARCHAR(30),Y,,"보증 유형 코드(limited, reasonable, unknown 등)"
Evidence,,5,assurance_scope_text,TEXT,Y,,보증 범위 설명
Evidence,,6,assurance_standard_text,VARCHAR(200),Y,,적용 기준(ISAE 3000 등)
Evidence,,7,evidence_id,BIGINT,Y,FK,근거 블록
Evidence,,8,reg_date,TIMESTAMP,N,,레코드 등록 일시
Evidence,,9,registrar,VARCHAR(100),N,,등록 주체
Evidence,,10,update_date,TIMESTAMP,Y,,최종 수정 일시
Evidence,,11,updater,VARCHAR(100),Y,,최종 수정 주체
Evidence,,12,note,TEXT,Y,,추가 메모
Strategy,company_climate_strategies,1,climate_strategy_id,BIGINT,N,PK,기후 전략 식별자
Strategy,,2,company_id,BIGINT,N,FK,대상 회사
Strategy,,3,period_id,BIGINT,N,FK,평가 기간
Strategy,,4,entity_id,BIGINT,Y,FK,실제 보고 단위 엔티티
Strategy,,5,parent_strategy_id,BIGINT,Y,FK,상위 전략
Strategy,,6,strategy_name,VARCHAR(500),N,,전략 또는 실행과제명
Strategy,,7,strategy_type_code,VARCHAR(50),N,,"전략 유형(pillar, program, initiative, campaign 등)"
Strategy,,8,strategy_category_code,VARCHAR(50),Y,,전략 카테고리 코드
Strategy,,9,target_horizon_code,VARCHAR(30),Y,,"목표 기간(short, mid, long, netzero 등)"
Strategy,,10,target_reference_text,TEXT,Y,,연결 목표 원문
Strategy,,11,status_code,VARCHAR(30),Y,,"전략 상태(planned, in_progress, completed 등)"
Strategy,,12,strategy_description,TEXT,Y,,전략 설명 원문
Strategy,,13,source_document_id,BIGINT,Y,FK,근거 문서
Strategy,,14,evidence_id,BIGINT,Y,FK,근거 블록
Strategy,,15,reg_date,TIMESTAMP,N,,레코드 등록 일시
Strategy,,16,registrar,VARCHAR(100),N,,등록 주체
Strategy,,17,update_date,TIMESTAMP,Y,,최종 수정 일시
Strategy,,18,updater,VARCHAR(100),Y,,최종 수정 주체
Strategy,,19,note,TEXT,Y,,추가 메모
Strategy,company_climate_strategy_target_links,1,climate_strategy_target_link_id,BIGINT,N,PK,기후 전략-목표 연결 식별자
Strategy,,2,climate_strategy_id,BIGINT,N,FK,기후 전략
Strategy,,3,company_target_fact_id,BIGINT,Y,FK,연결된 회사 목표 fact
Strategy,,4,target_type,VARCHAR(50),Y,,연결 목표 유형
Strategy,,5,target_reference_text,TEXT,Y,,목표 연결 설명 원문
Strategy,,6,linkage_type,VARCHAR(30),N,,"연결 유형(primary, supporting, enabling 등)"
Strategy,,7,source_document_id,BIGINT,Y,FK,근거 문서
Strategy,,8,evidence_id,BIGINT,Y,FK,근거 블록
Strategy,,9,reg_date,TIMESTAMP,N,,레코드 등록 일시
Strategy,,10,registrar,VARCHAR(100),N,,등록 주체
Strategy,,11,update_date,TIMESTAMP,Y,,최종 수정 일시
Strategy,,12,updater,VARCHAR(100),Y,,최종 수정 주체
Strategy,,13,note,TEXT,Y,,추가 메모
Strategy,company_climate_strategy_progress,1,climate_strategy_progress_id,BIGINT,N,PK,기후 전략 진행상황 식별자
Strategy,,2,climate_strategy_id,BIGINT,N,FK,기후 전략
Strategy,,3,period_id,BIGINT,N,FK,평가 기간
Strategy,,4,progress_status_code,VARCHAR(30),N,,진행 상태 코드
Strategy,,5,progress_summary,TEXT,Y,,진행 현황 요약
Strategy,,6,source_document_id,BIGINT,Y,FK,근거 문서
Strategy,,7,evidence_id,BIGINT,Y,FK,근거 블록
Strategy,,8,reg_date,TIMESTAMP,N,,레코드 등록 일시
Strategy,,9,registrar,VARCHAR(100),N,,등록 주체
Strategy,,10,update_date,TIMESTAMP,Y,,최종 수정 일시
Strategy,,11,updater,VARCHAR(100),Y,,최종 수정 주체
Strategy,,12,note,TEXT,Y,,추가 메모
Governance,company_climate_governance_disclosures,1,climate_governance_disclosure_id,BIGINT,N,PK,기후 거버넌스 공시 식별자
Governance,,2,company_id,BIGINT,N,FK,대상 회사
Governance,,3,period_id,BIGINT,N,FK,평가 기간
Governance,,4,entity_id,BIGINT,Y,FK,실제 보고 단위 엔티티
Governance,,5,governance_topic_code,VARCHAR(50),N,,"거버넌스 주제 코드(board_oversight, committee, management_role 등)"
Governance,,6,governance_level_code,VARCHAR(50),Y,,"거버넌스 레벨(board, committee, executive 등)"
Governance,,7,governing_body_name,VARCHAR(200),Y,,이사회 또는 위원회명
Governance,,8,disclosure_text,TEXT,N,,공시 원문
Governance,,9,source_document_id,BIGINT,Y,FK,근거 문서
Governance,,10,evidence_id,BIGINT,Y,FK,근거 블록
Governance,,11,reg_date,TIMESTAMP,N,,레코드 등록 일시
Governance,,12,registrar,VARCHAR(100),N,,등록 주체
Governance,,13,update_date,TIMESTAMP,Y,,최종 수정 일시
Governance,,14,updater,VARCHAR(100),Y,,최종 수정 주체
Governance,,15,note,TEXT,Y,,추가 메모
Lineage,fact_observations,1,fact_observation_id,BIGINT,N,PK,fact 관측 이력 식별자
Lineage,,2,fact_table_name,VARCHAR(100),N,,원본 fact 테이블명
Lineage,,3,fact_row_id,BIGINT,Y,,연결된 fact row id
Lineage,,4,company_id,BIGINT,N,FK,대상 회사
Lineage,,5,period_id,BIGINT,Y,FK,평가 기간
Lineage,,6,entity_id,BIGINT,Y,FK,실제 보고 단위 엔티티
Lineage,,7,observation_run_id,VARCHAR(100),N,,배치 실행 또는 적재 실행 식별자
Lineage,,8,business_key_hash,VARCHAR(128),Y,,논리 fact 키 해시
Lineage,,9,observation_status,VARCHAR(30),N,,관측 상태(latest, superseded, rejected 등)
Lineage,,10,observation_payload,JSONB,N,,관측 payload JSON
Lineage,,11,source_document_id,BIGINT,Y,FK,근거 문서
Lineage,,12,evidence_id,BIGINT,Y,FK,근거 블록
Lineage,,13,observed_at,TIMESTAMP,N,,관측 시각
Lineage,,14,is_latest,BOOLEAN,N,,최신 관측 여부
Lineage,,15,reg_date,TIMESTAMP,N,,레코드 등록 일시
Lineage,,16,registrar,VARCHAR(100),N,,등록 주체
Lineage,,17,update_date,TIMESTAMP,Y,,최종 수정 일시
Lineage,,18,updater,VARCHAR(100),Y,,최종 수정 주체
Lineage,,19,note,TEXT,Y,,추가 메모
Lineage,scoring_lineage_links,1,scoring_lineage_link_id,BIGINT,N,PK,점수 계산 계보 링크 식별자
Lineage,,2,scoring_run_id,BIGINT,N,FK,스코어링 실행
Lineage,,3,variable_score_id,BIGINT,Y,FK,변수 점수
Lineage,,4,assessment_id,BIGINT,Y,FK,평가
Lineage,,5,assessment_item_id,BIGINT,Y,FK,평가 항목
Lineage,,6,source_table_name,VARCHAR(100),N,,원천 테이블명
Lineage,,7,source_row_id,BIGINT,Y,,원천 row id
Lineage,,8,document_id,BIGINT,Y,FK,관련 문서
Lineage,,9,evidence_id,BIGINT,Y,FK,관련 근거 블록
Lineage,,10,link_role,VARCHAR(30),N,,"링크 역할(input, reference, adjustment, evidence 등)"
Lineage,,11,link_summary,TEXT,Y,,계산 연결 설명
Lineage,,12,reg_date,TIMESTAMP,N,,레코드 등록 일시
Lineage,,13,registrar,VARCHAR(100),N,,등록 주체
Lineage,,14,update_date,TIMESTAMP,Y,,최종 수정 일시
Lineage,,15,updater,VARCHAR(100),Y,,최종 수정 주체
Lineage,,16,note,TEXT,Y,,추가 메모
