Domain,Table_Name,Column_Order,Column_Name,Data_Type,Nullable,Key_Type,Description
Evidence,,14,updater,VARCHAR(100),Y,,최종 수정 주체
Evidence,,15,note,TEXT,Y,,추가 메모
Evidence,document_entity_coverage,1,document_entity_coverage_id,BIGINT,N,PK,문서-엔티티 커버리지 식별자
Evidence,,2,document_id,BIGINT,N,FK,대상 문서
Evidence,,3,entity_id,BIGINT,N,FK,포함 또는 참조된 엔티티
Evidence,,4,coverage_type,VARCHAR(50),N,,"커버리지 유형(consolidated, grouped, partial, referenced, excluded)"
Evidence,,5,included_flag,BOOLEAN,N,,실제 포함 여부
Evidence,,6,coverage_note,TEXT,Y,,커버리지 설명
Evidence,,7,reg_date,TIMESTAMP,N,,레코드 등록 일시
Evidence,,8,registrar,VARCHAR(100),N,,등록 주체
Evidence,,9,update_date,TIMESTAMP,Y,,최종 수정 일시
Evidence,,10,updater,VARCHAR(100),Y,,최종 수정 주체
Evidence,,11,note,TEXT,Y,,추가 메모
Evidence,docs_table,1,doc_table_id,BIGINT,N,PK,문서 표 식별자
Evidence,,2,document_id,BIGINT,N,FK,대상 문서
Evidence,,3,page_no,INTEGER,Y,,문서 페이지 번호
Evidence,,4,sec_name,VARCHAR(200),Y,,문서 섹션명
Evidence,,5,tbl_title,VARCHAR(500),Y,,표 제목 또는 캡션
Evidence,,6,tbl_kind,VARCHAR(50),Y,,표 유형(kpi, index, appendix, list 등)
Evidence,,7,bbox_json,JSONB,Y,,표 위치 bbox JSON
Evidence,,8,matrix_json,JSONB,N,,표 원본 행렬 JSON
Evidence,,9,header_json,JSONB,Y,,표 헤더 구조 JSON
Evidence,,10,row_cnt,INTEGER,Y,,행 수
Evidence,,11,col_cnt,INTEGER,Y,,열 수
Evidence,,12,evidence_id,BIGINT,Y,FK,대표 근거 블록
Evidence,,13,reg_date,TIMESTAMP,N,,레코드 등록 일시
Evidence,,14,registrar,VARCHAR(100),N,,등록 주체
Evidence,,15,update_date,TIMESTAMP,Y,,최종 수정 일시
Evidence,,16,updater,VARCHAR(100),Y,,최종 수정 주체
Evidence,,17,note,TEXT,Y,,추가 메모
Evidence,docs_cell,1,doc_cell_id,BIGINT,N,PK,문서 표 셀 식별자
Evidence,,2,doc_table_id,BIGINT,N,FK,대상 문서 표
Evidence,,3,row_no,INTEGER,N,,행 번호
Evidence,,4,col_no,INTEGER,N,,열 번호
Evidence,,5,cell_txt,TEXT,N,,원본 셀 텍스트
Evidence,,6,norm_txt,TEXT,Y,,정규화 셀 텍스트
Evidence,,7,is_hdr,BOOLEAN,N,,헤더 셀 여부
Evidence,,8,row_span,INTEGER,Y,,행 병합 수
Evidence,,9,col_span,INTEGER,Y,,열 병합 수
Evidence,,10,reg_date,TIMESTAMP,N,,레코드 등록 일시
Evidence,,11,registrar,VARCHAR(100),N,,등록 주체
Evidence,,12,update_date,TIMESTAMP,Y,,최종 수정 일시
Evidence,,13,updater,VARCHAR(100),Y,,최종 수정 주체
Evidence,,14,note,TEXT,Y,,추가 메모
Raw Fact,company_metric_facts,1,company_metric_fact_id,BIGINT,N,PK,정량 지표 fact 식별자
Raw Fact,,2,company_id,BIGINT,N,FK,대상 회사
Raw Fact,,3,period_id,BIGINT,N,FK,평가 기간
Raw Fact,,4,entity_id,BIGINT,Y,FK,실제 보고 단위 엔티티(자회사/사업장/그룹 등)
Raw Fact,,5,metric_code,VARCHAR(100),N,,"지표 코드(scope1_emissions, revenue, capex_total 등)"
Raw Fact,,6,metric_value,"NUMERIC(24,6)",Y,,지표 값
Raw Fact,,7,metric_unit,VARCHAR(50),Y,,지표 단위
Raw Fact,,8,dimension_1_code,VARCHAR(50),Y,,"추가 차원 코드(scope, product, region 등)"
Raw Fact,,9,dimension_1_value,VARCHAR(100),Y,,추가 차원 값
Raw Fact,,10,dimension_2_code,VARCHAR(50),Y,,보조 차원 코드
Raw Fact,,11,dimension_2_value,VARCHAR(100),Y,,보조 차원 값
Raw Fact,,12,verification_status,VARCHAR(50),Y,,검증 상태
Raw Fact,,13,data_status,VARCHAR(30),N,,"reported, estimated, missing 등"
Raw Fact,,14,source_document_id,BIGINT,Y,FK,근거 문서
Raw Fact,,15,evidence_id,BIGINT,Y,FK,근거 블록
Raw Fact,,16,reg_date,TIMESTAMP,N,,레코드 등록 일시
Raw Fact,,17,registrar,VARCHAR(100),N,,등록 주체
Raw Fact,,18,update_date,TIMESTAMP,Y,,최종 수정 일시
Raw Fact,,19,updater,VARCHAR(100),Y,,최종 수정 주체
Raw Fact,,20,note,TEXT,Y,,추가 메모
Raw Fact,company_target_facts,1,company_target_fact_id,BIGINT,N,PK,목표 fact 식별자
Raw Fact,,2,company_id,BIGINT,N,FK,대상 회사
Raw Fact,,3,period_id,BIGINT,N,FK,평가 기간
Raw Fact,,4,entity_id,BIGINT,Y,FK,실제 보고 단위 엔티티(자회사/사업장/그룹 등)
Raw Fact,,5,target_type,VARCHAR(50),N,,"목표 유형(short, mid, long, netzero, residual_neutralization)"
Raw Fact,,6,target_metric_type,VARCHAR(30),Y,,"absolute, intensity, qualitative"
Raw Fact,,7,base_year,INTEGER,Y,,기준연도
Raw Fact,,8,target_year,INTEGER,Y,,목표연도
Raw Fact,,9,target_scope_code,VARCHAR(50),Y,,목표 범위 코드
Raw Fact,,10,target_value,"NUMERIC(24,6)",Y,,목표값
Raw Fact,,11,target_unit,VARCHAR(50),Y,,목표 단위
Raw Fact,,12,target_reduction_pct,"NUMERIC(8,5)",Y,,감축 비율
Raw Fact,,13,scenario_alignment_code,VARCHAR(50),Y,,시나리오 정렬 코드
Raw Fact,,14,sbti_approval_flag,BOOLEAN,Y,,SBTi 승인 여부
Raw Fact,,15,residual_defined_flag,BOOLEAN,Y,,residual 배출 정의 여부
Raw Fact,,16,offset_usage_flag,BOOLEAN,Y,,상쇄 사용 여부
Raw Fact,,17,offset_dependency_ratio,"NUMERIC(8,5)",Y,,상쇄 의존 비율
Raw Fact,,18,carbon_removal_plan_flag,BOOLEAN,Y,,영구 제거 계획 여부
Raw Fact,,19,disclosed_flag,BOOLEAN,Y,,공시 여부
Raw Fact,,20,source_document_id,BIGINT,Y,FK,근거 문서
Raw Fact,,21,evidence_id,BIGINT,Y,FK,근거 블록
Raw Fact,,22,reg_date,TIMESTAMP,N,,레코드 등록 일시
Raw Fact,,23,registrar,VARCHAR(100),N,,등록 주체
Raw Fact,,24,update_date,TIMESTAMP,Y,,최종 수정 일시
Raw Fact,,25,updater,VARCHAR(100),Y,,최종 수정 주체
Raw Fact,,26,note,TEXT,Y,,추가 메모
Raw Fact,company_scope3_facts,1,company_scope3_fact_id,BIGINT,N,PK,Scope 3 fact 식별자
Raw Fact,,2,company_id,BIGINT,N,FK,대상 회사
Raw Fact,,3,period_id,BIGINT,N,FK,평가 기간
Raw Fact,,4,entity_id,BIGINT,Y,FK,실제 보고 단위 엔티티(자회사/사업장/그룹 등)
Raw Fact,,5,scope3_category_code,VARCHAR(50),N,,Scope 3 카테고리 코드
Raw Fact,,6,emission_value,"NUMERIC(24,6)",Y,,배출량
Raw Fact,,7,emission_unit,VARCHAR(50),Y,,배출량 단위
Raw Fact,,8,disclosed_flag,BOOLEAN,Y,,공시 여부
